t,AE
7.1e-06,-0.000867919921875
7.2e-06,-0.00073516845703125
7.3e-06,-0.000691986083984375
7.4e-06,-0.000804290771484375
7.5e-06,-0.00082366943359375
7.6e-06,-0.000840301513671875
7.7e-06,-0.000803985595703125
7.8e-06,-0.0007080078125
7.9e-06,-0.000666656494140625
8e-06,-0.0007720947265625
8.1e-06,-0.00088836669921875
8.2e-06,-0.000950775146484375
8.3e-06,-0.000933837890625
8.4e-06,-0.000867767333984375
8.5e-06,-0.000797882080078125
8.6e-06,-0.000738677978515625
8.7e-06,-0.000831756591796875
8.8e-06,-0.000858154296875
8.9e-06,-0.0008056640625
9e-06,-0.000820770263671875
9.1e-06,-0.000778350830078125
9.2e-06,-0.000762786865234375
9.3e-06,-0.00085601806640625
9.4e-06,-0.000887603759765625
9.5e-06,-0.000908966064453125
9.6e-06,-0.000916748046875
9.7e-06,-0.000926513671875
9.8e-06,-0.0009063720703125
9.9e-06,-0.00077880859375
1e-05,-0.0007086181640625
1.01e-05,-0.000683441162109375
1.02e-05,-0.00072784423828125
1.03e-05,-0.000711212158203125
1.04e-05,-0.000691070556640625
1.05e-05,-0.0006536865234375
1.06e-05,-0.00059722900390625
1.07e-05,-0.000583953857421875
1.08e-05,-0.00065185546875
1.09e-05,-0.000680084228515625
1.1e-05,-0.0007086181640625
1.11e-05,-0.00070068359375
1.12e-05,-0.000673065185546875
1.13e-05,-0.000647735595703125
1.14e-05,-0.000653839111328125
1.15e-05,-0.000719451904296875
1.16e-05,-0.00075592041015625
1.17e-05,-0.000766754150390625
1.18e-05,-0.000787811279296875
1.19e-05,-0.00071533203125
1.2e-05,-0.00065673828125
1.21e-05,-0.00072052001953125
1.22e-05,-0.00080780029296875
1.23e-05,-0.000855712890625
1.24e-05,-0.000875396728515625
1.25e-05,-0.00082244873046875
1.26e-05,-0.000801239013671875
1.27e-05,-0.0007611083984375
1.28e-05,-0.00083251953125
1.29e-05,-0.000867767333984375
1.3e-05,-0.00079833984375
1.31e-05,-0.0007598876953125
1.32e-05,-0.0008001708984375
1.33e-05,-0.0007806396484375
1.34e-05,-0.000654449462890625
1.35e-05,-0.000623779296875
1.36e-05,-0.000695953369140625
1.37e-05,-0.000727996826171875
1.38e-05,-0.000726776123046875
1.39e-05,-0.000660858154296875
1.4e-05,-0.0005145263671875
1.41e-05,-0.000469818115234375
1.42e-05,-0.000606689453125
1.43e-05,-0.000668182373046875
1.44e-05,-0.000732879638671875
1.45e-05,-0.000731658935546875
1.46e-05,-0.000631866455078125
1.47e-05,-0.000520477294921875
