t,LDV
2.03e-05,-1.55771179199219e-05
2.04e-05,-2.58401184082031e-05
2.05e-05,-4.0239013671875e-05
2.06e-05,-1.77567138671875e-05
2.07e-05,2.50884094238281e-05
2.08e-05,4.28970642089844e-05
2.09e-05,7.64852600097656e-05
2.1e-05,7.54237060546875e-05
2.11e-05,5.17268371582031e-05
2.12e-05,5.32485656738281e-05
2.13e-05,4.28328552246094e-05
2.14e-05,3.68012390136719e-05
2.15e-05,3.65712585449219e-05
2.16e-05,2.20906066894531e-05
2.17e-05,2.84111633300781e-05
2.18e-05,4.15328369140625e-05
2.19e-05,1.89672546386719e-05
2.2e-05,1.65384826660156e-05
2.21e-05,3.24432067871094e-05
2.22e-05,3.58772583007813e-05
2.23e-05,5.94403991699219e-05
2.24e-05,8.2303955078125e-05
2.25e-05,5.80514221191406e-05
2.26e-05,4.40623779296875e-05
2.27e-05,2.20104370117188e-05
2.28e-05,-3.70587158203125e-06
2.29e-05,4.63766479492187e-06
2.3e-05,2.9425537109375e-05
2.31e-05,2.44512634277344e-05
2.32e-05,3.30442504882813e-05
2.33e-05,5.525732421875e-05
2.34e-05,4.79342651367188e-05
2.35e-05,6.46430969238281e-05
2.36e-05,5.3521240234375e-05
2.37e-05,4.55089111328125e-05
2.38e-05,6.8510986328125e-05
2.39e-05,6.58052368164062e-05
2.4e-05,4.35573425292969e-05
2.41e-05,1.2123779296875e-05
2.42e-05,-1.03310852050781e-05
2.43e-05,3.76318359375e-06
2.44e-05,-1.33704528808594e-05
2.45e-05,-3.07088317871094e-05
2.46e-05,-2.61797485351563e-05
2.47e-05,-2.83072814941406e-05
2.48e-05,-5.4483642578125e-06
2.49e-05,4.84673156738281e-05
2.5e-05,7.87354431152344e-05
2.51e-05,0.000125945922851563
2.52e-05,0.000145445465087891
2.53e-05,0.000133106475830078
2.54e-05,0.000117038116455078
2.55e-05,0.000112221557617187
2.56e-05,7.73072814941406e-05
2.57e-05,6.57934265136719e-05
2.58e-05,7.05945434570312e-05
2.59e-05,5.12129211425781e-05
2.6e-05,5.00758361816406e-05
2.61e-05,2.57054748535156e-05
2.62e-05,1.4605712890625e-06
2.63e-05,-1.51641845703125e-07
2.64e-05,-2.99249267578125e-06
2.65e-05,9.9664306640625e-07
2.66e-05,2.4087890625e-05
2.67e-05,2.38386535644531e-05
2.68e-05,3.18099365234375e-05
2.69e-05,6.07713012695313e-05
2.7e-05,5.55169982910156e-05
2.71e-05,5.80975341796875e-05
2.72e-05,6.82433471679687e-05
2.73e-05,4.39603881835937e-05
2.74e-05,4.075146484375e-05
2.75e-05,2.28589172363281e-05
2.76e-05,1.04047546386719e-05
2.77e-05,1.50056762695313e-05
2.78e-05,2.27935180664063e-05
2.79e-05,2.17359313964844e-05
2.8e-05,4.00992736816406e-05
2.81e-05,6.48468017578125e-05
2.82e-05,6.36636352539062e-05
2.83e-05,6.49007873535156e-05
2.84e-05,6.85203247070313e-05
2.85e-05,5.82977600097656e-05
2.86e-05,4.89798889160156e-05
2.87e-05,1.36519165039063e-05
2.88e-05,5.45233154296875e-06
2.89e-05,9.39111328125e-06
2.9e-05,7.26925659179688e-06
2.91e-05,2.08193969726563e-06
2.92e-05,1.8842041015625e-05
2.93e-05,2.46122131347656e-05
2.94e-05,2.75791320800781e-05
2.95e-05,3.8292236328125e-05
2.96e-05,2.99675903320313e-05
2.97e-05,3.80018920898438e-05
2.98e-05,5.437939453125e-05
2.99e-05,5.6207763671875e-05
3e-05,5.74568176269531e-05
3.01e-05,4.59131469726563e-05
3.02e-05,2.88937377929688e-05
3.03e-05,-8.70330810546875e-07
3.04e-05,8.09494018554688e-06
3.05e-05,2.21595153808594e-05
3.06e-05,2.61069641113281e-05
3.07e-05,3.70550537109375e-05
3.08e-05,4.37544860839844e-05
3.09e-05,4.27980346679688e-05
3.1e-05,5.77145690917969e-05
3.11e-05,5.49405212402344e-05
3.12e-05,4.49988708496094e-05
3.13e-05,5.14862060546875e-05
3.14e-05,5.28969421386719e-05
3.15e-05,6.18232116699219e-05
3.16e-05,9.63103332519531e-05
3.17e-05,0.000143486450195312
3.18e-05,0.000185863006591797
3.19e-05,0.000259166259765625
3.2e-05,0.00027911083984375
3.21e-05,0.000246091613769531
3.22e-05,0.000173783325195313
3.23e-05,6.35957946777344e-05
3.24e-05,-5.36375122070313e-05
3.25e-05,-0.000115406036376953
3.26e-05,-0.000153615844726563
3.27e-05,-0.000126168243408203
3.28e-05,-7.12456359863281e-05
3.29e-05,-4.19557800292969e-05
3.3e-05,-4.11516418457031e-05
3.31e-05,-3.56184692382813e-05
3.32e-05,-1.81112365722656e-05
3.33e-05,-2.58148193359375e-07
3.34e-05,4.97396850585937e-05
3.35e-05,6.70831298828125e-05
3.36e-05,6.29828796386719e-05
3.37e-05,7.11716003417969e-05
3.38e-05,4.24019165039063e-05
3.39e-05,3.6579833984375e-05
3.4e-05,2.91417541503906e-05
3.41e-05,-9.6099853515625e-07
3.42e-05,-4.0136474609375e-05
3.43e-05,-6.98191223144531e-05
3.44e-05,-5.77615661621094e-05
3.45e-05,-1.31425476074219e-05
3.46e-05,6.39923095703125e-07
3.47e-05,3.66593627929688e-05
3.48e-05,7.29006042480469e-05
3.49e-05,7.25294494628906e-05
